Type,Name,Elements,Double bonds,is atomic,stereo bound,Description,Synonyms,
FG,oxy,O,0,0,0,Alkoxy / ether,,
FG,NH2,NH,0,0,1,Amino,,
FG,COOH,CO2,1,0,1,Carboxyl,,
FG,CN,CNH-1,0,0,1,Cyano,,
FG,Ep,OH-2,1,0,1,Epoxy,,
FG,Et,C2H4,0,0,1,Ethyl,,
FG,OOH,O2,0,0,1,Hydroperoxy,,
FG,OH,O,0,0,1,Hydroxyl,,
FG,OMe,CH2O,0,0,1,Methoxy,,
FG,Me,CH2,0,0,1,Methyl,,
FG,NO2,NO2H-1,1,0,1,Nitro,,
FG,oxo,OH-2,1,0,0,Keto,CHO,Ke
FG,OO,O2,0,0,1,Peroxy,,
FG,Ph,PO4H,0,0,1,Phosphate,,
FG,SH,S,0,0,1,Sulfanyl,,
FG,Su,SO4,0,0,1,Sulfate,,
FG,My,C,1,0,0,Methylene,,
FG,dME,C,0,0,1,Methylen,,
FG,X,O,0,0,0,Hidden,,
FG,d,O-1H-1,0,0,0,Deoxy,,
FG,MMAs,C2H5OAs,1,0,1,Dimethylarsinoyl,,
FG,BOO,C4H8O2,0,0,1,Butylperoxy,,
FG,T,SO3H,0,0,1,,,
FG,G,NH,0,0,1,,,
HGD,Hex,C6H10O6,0,0,0,,,
HGD,Hex2,C12H20O11,0,0,0,,,
HGD,Hex3,C18H30O16,0,0,0,,,
HGD,Lac,C12H20O11,0,0,0,,,
HGD,Gal,C6H10O6,0,0,0,,,
HGD,Glc,C6H10O6,0,0,0,,,
HGD,NeuAc,O9NC11H17,0,0,0,,,
HGD,OAc-NeuAc,O10NC13H19,0,0,0,,,
HGD,SGal,O9H10C6S1,0,0,0,,,
HGD,S(3')Gal,O9H10C6S1,0,0,0,,,
HGD,SHex,O9H10C6S1,0,0,0,,,
HGD,S(3')Hex,O9H10C6S1,0,0,0,,,
HGD,SHex2,C12H20O14S1,0,0,0,,,
HGD,S(3')Hex2,C12H20O14S1,0,0,0,,,
HGD,GlcA,C6O6H8,0,0,0,,,
HGD,HexA,C6O6H8,0,0,0,,,
HGD,HexNAc,C8H13O6N,0,0,0,,,
HGD,GalNAc,C8H13O6N,0,0,0,,,
HGD,GlcNAc,C8H13O6N,0,0,0,,,
HGD,Man,C6H10O6,0,0,0,,,
HGD,Neu,C9H14O8N,0,0,0,,,
HGD,NeuGc,C11H17NO10,0,0,0,,,
HGD,NAc,C6H10O5,0,0,0,,,
HGD,Fuc,C6H10O5,0,0,0,,,
HGD,Kdn,C9H14O9,0,0,0,,,
HGD,KDN,C9H14O9,0,0,0,,,
HGD,Xyl,C29H52O26,0,0,0,,,
HGD,COG,C18H19N5O,0,0,0,,,
HGD,COT,C6H14N2O2,0,0,0,,,
HGD,OGlc,C6H10O5,0,0,0,,,
FG,H,H,0,0,0,,,
HGD,OGlcNAc,,0,0,0,,,
HGD,NeuAc2,,0,0,0,,,
FG,O,O,0,1,0,,,
FG,N,NH,0,1,0,,,
FG,P,PH,0,1,0,,,
FG,S,S,0,1,0,,,
FG,Br,BrH-1,0,1,0,,,
FG,F,FH-1,0,1,0,,,
FG,I,IH-1,0,1,0,,,
FG,Cl,ClH-1,0,1,0,,,
FG,As,AsH-1,0,1,0,,,
