"27:2(5Z,9Z)",C27H50O2
"28:2(5Z,9Z)",C28H52O2
"16:4(4Z,7Z,10Z,13Z)",C16H24O2
"16:4(6,9,12,15)",C16H24O2
"26:4(11Z,14Z,17Z,20Z)",C26H44O2
"28:4(13Z,16Z,19Z,22Z)",C28H48O2
"30:4(15Z,18Z,21Z,24Z)",C30H52O2
"32:4(17Z,20Z,23Z,26Z)",C32H56O2
"34:4(19Z,22Z,25Z,28Z)",C34H60O2
"36:4(21Z,24Z,27Z,30Z)",C36H64O2
"38:4(23Z,26Z,29Z,32Z)",C38H68O2
"28:5(13Z,16Z,19Z,22Z,25Z)",C28H46O2
"30:5(15Z,18Z,21Z,24Z,27Z)",C30H50O2
"32:5(17Z,20Z,23Z,26Z,29Z)",C32H54O2
"34:5(19Z,22Z,25Z,28Z,31Z)",C34H58O2
"36:5(21Z,24Z,27Z,30Z,33Z)",C36H62O2
"38:5(23Z,26Z,29Z,32Z,35Z)",C38H66O2
"26:6(8Z,11Z,14Z,17Z,20Z,23Z)",C26H40O2
"28:6(10Z,13Z,16Z,19Z,22Z,25Z)",C28H44O2
"30:6(12Z,15Z,18Z,21Z,24Z,27Z)",C30H48O2
"32:6(14Z,17Z,20Z,23Z,26Z,29Z)",C32H52O2
"34:6(16Z,19Z,22Z,25Z,28Z,31Z)",C34H56O2
"36:6(18Z,21Z,24Z,27Z,30Z,33Z)",C36H60O2
"38:6(20Z,23Z,26Z,29Z,32Z,35Z)",C38H64O2
"26:5(8Z,11Z,14Z,17Z,20Z)",C26H42O2
"28:5(10Z,13Z,16Z,19Z,22Z)",C28H46O2
"30:5(12Z,15Z,18Z,21Z,24Z)",C30H50O2
"32:5(14Z,17Z,20Z,23Z,26Z)",C32H54O2
"34:5(16Z,19Z,22Z,25Z,28Z)",C34H58O2
"36:5(18Z,21Z,24Z,27Z,30Z)",C36H62O2
"38:5(20Z,23Z,26Z,29Z,32Z)",C38H66O2
16:1(5Z),C16H30O2
15:1(7Z),C15H28O2
17:1(11Z),C17H32O2
19:1(12Z),C19H36O2
20:1(7Z),C20H38O2
"20:2(7Z,14Z)",C20H36O2
"20:2(5Z,13Z)",C20H36O2
"22:2(7Z,15Z)",C22H40O2
"21:2(5Z,14Z)",C21H38O2
"20:3(5Z,13Z,16Z)",C20H34O2
"21:3(5Z,14Z,17Z)",C21H36O2
15:1(9Z),C15H28O2
"20:2(5Z,15Z)",C20H36O2
"21:2(5Z,16Z)",C21H38O2
"16:3(6Z,9Z,12Z)",C16H26O2
"16:4(6Z,9Z,12Z,15Z)",C16H24O2
"20:4(5Z,13Z,16Z,19Z)",C20H32O2
"30:3(5Z,9Z,23Z)",C30H54O2
"26:2(9Z,19Z)",C26H48O2
"28:2(9Z,21Z)",C28H52O2
"28:3(5Z,9Z,21Z)",C28H50O2
"30:2(9Z,23Z)",C30H56O2
18:1(13E),C18H34O2
18:1(14E),C18H34O2
18:1(14Z),C18H34O2
"26:3(5Z,9Z,19E)",C26H46O2
19:1(6Z),C19H36O2
19:1(9Z),C19H36O2
19:1(11Z),C19H36O2
"29:2(5Z,9Z)",C29H54O2
13:1(8),C13H24O2
16:1(4),C16H30O2
"14:2(6,9)",C14H24O2
"20:2(6,11)",C20H36O2
"19:2(5Z,9Z)",C19H34O2
"20:2(5Z,9Z)",C20H36O2
"24:2(5Z,9Z)",C24H44O2
"24:3(15Z,18Z,21Z)",C24H42O2
"27:3(5Z,9Z,20Z)",C27H48O2
"29:3(5Z,9Z,23Z)",C29H52O2
17:1(12Z),C17H32O2
19:1(13Z),C19H36O2
21:1(7Z),C21H40O2
22:1(7Z),C22H42O2
22:1(9Z),C22H42O2
19:1(16Z),C19H36O2
"22:2(7Z,13Z)",C22H40O2
"22:3(7Z,13Z,16Z)",C22H38O2
"22:4(7Z,13Z,16Z,19Z)",C22H36O2
"22:5(4Z,7Z,10Z,13Z,16Z)",C22H34O2
"22:2(3Z,16Z)",C22H40O2
"22:4(4Z,7Z,10Z,13E)",C22H36O2
"CoA(20:2(11Z,14Z))",C41H70N7O17P3S
"CoA(22:2(13Z,16Z))",C43H74N7O17P3S
"CoA(24:5(6Z,9Z,12Z,15Z,18Z))",C45H72N7O17P3S
"CoA(22:5(4Z,7Z,10Z,13Z,16Z))",C43H68N7O17P3S
"CoA(20:3(11Z,14Z,17Z))",C41H68N7O17P3S
"CoA(18:2(6Z,9Z))",C39H66N7O17P3S
"CoA(20:2(8Z,11Z))",C41H70N7O17P3S
"CoA(20:3(5Z,8Z,11Z))",C41H68N7O17P3S
DGCC(16:0/16:0),C42H81NO8
DGCC(16:0/20:5),C46H79NO8
DGCC(20:5/16:0),C46H79NO8
DGCC(20:5/20:5),C50H77NO8
DGCC(20:5/16:1),C46H77NO8
DGCC(22:6/20:5),C52H79NO8
MG(16:0/0:0/0:0)[rac],C19H38O4
MG(17:0/0:0/0:0)[rac],C20H40O4
MG(18:0/0:0/0:0)[rac],C21H42O4
