"PE-Cer(d14:1(4E)/25:0)","C41H83N2O6P"
"HexCer(d24:0)","C30H59NO8"
"PE-Cer(d14:1(4E)/18:0)","C34H69N2O6P"
"PC(28:6(10Z,13Z,16Z,19Z,22Z,25Z)/28:0)","C64H116NO8P"
"PC(22:3(10Z,13Z,16Z)/16:2(9Z,12Z))","C46H82NO8P"
"PC(18:1(11E)/28:5(10Z,13Z,16Z,19Z,22Z))","C54H96NO8P"
"PC(13:0/16:2(9Z,12Z))","C37H70NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/32:5(17Z,20Z,23Z,26Z,29Z))","C66H112NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C54H88NO8P"
"PC(26:5(11Z,14Z,17Z,20Z,23Z)/18:4(6Z,9Z,12Z,15Z))","C52H86NO8P"
"PC(20:3(11Z,14Z,17Z)/36:4(21Z,24Z,27Z,30Z))","C64H114NO8P"
"PC(20:3(11Z,14Z,17Z)/4:0)","C32H58NO8P"
"PC(20:3(11Z,14Z,17Z)/14:0)","C42H78NO8P"
"PC(20:3(11Z,14Z,17Z)/30:0)","C58H110NO8P"
"PC(20:2(11Z,14Z)/16:1(9Z))","C44H82NO8P"
"PC(18:1(11Z)/26:4(11Z,14Z,17Z,20Z))","C52H94NO8P"
"PC(18:1(11Z)/16:1(6Z))","C42H80NO8P"
"PC(30:6(12Z,15Z,18Z,21Z,24Z,27Z)/28:4(13Z,16Z,19Z,22Z))","C66H112NO8P"
"PC(30:6(12Z,15Z,18Z,21Z,24Z,27Z)/18:3(6Z,9Z,12Z))","C56H94NO8P"
"PC(30:5(12Z,15Z,18Z,21Z,24Z)/30:5(15Z,18Z,21Z,24Z,27Z))","C68H116NO8P"
"PC(15:0/30:4(15Z,18Z,21Z,24Z))","C53H98NO8P"
"PC(15:0/36:5(21Z,24Z,27Z,30Z,33Z))","C59H108NO8P"
"PC(28:5(13Z,16Z,19Z,22Z,25Z)/24:4(9Z,12Z,15Z,18Z))","C60H102NO8P"
"PC(28:5(13Z,16Z,19Z,22Z,25Z)/16:2(9Z,12Z))","C52H90NO8P"
"PC(28:4(13Z,16Z,19Z,22Z)/20:0)","C56H104NO8P"
"PC(22:1(13Z)/28:4(13Z,16Z,19Z,22Z))","C58H106NO8P"
"PC(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/24:4(9Z,12Z,15Z,18Z))","C64H108NO8P"
"PC(32:6(14Z,17Z,20Z,23Z,26Z,29Z)/18:2(9Z,12Z))","C58H100NO8P"
"PC(17:0/22:1(13Z))","C47H92NO8P"
"PC(17:0/34:4(19Z,22Z,25Z,28Z))","C59H110NO8P"
"PC(17:0/36:5(21Z,24Z,27Z,30Z,33Z))","C61H112NO8P"
"PC(17:0/38:4(23Z,26Z,29Z,32Z))","C63H118NO8P"
"PC(30:5(15Z,18Z,21Z,24Z,27Z)/10:0)","C48H86NO8P"
"PC(30:5(15Z,18Z,21Z,24Z,27Z)/8:0)","C46H82NO8P"
"PC(32:4(17Z,20Z,23Z,26Z)/30:6(12Z,15Z,18Z,21Z,24Z,27Z))","C70H120NO8P"
"PC(36:6(18Z,21Z,24Z,27Z,30Z,33Z)/20:3(11Z,14Z,17Z))","C64H110NO8P"
"PC(36:6(18Z,21Z,24Z,27Z,30Z,33Z)/24:0)","C68H124NO8P"
"PC(34:4(19Z,22Z,25Z,28Z)/8:0)","C50H92NO8P"
"PC(36:5(21Z,24Z,27Z,30Z,33Z)/26:0)","C70H130NO8P"
"PC(36:5(21Z,24Z,27Z,30Z,33Z)/18:0)","C62H114NO8P"
"PC(36:4(21Z,24Z,27Z,30Z)/10:0)","C54H100NO8P"
"PC(36:4(21Z,24Z,27Z,30Z)/3:0)","C47H86NO8P"
"PC(38:5(23Z,26Z,29Z,32Z,35Z)/22:4(7Z,10Z,13Z,16Z))","C68H118NO8P"
"PC(38:4(23Z,26Z,29Z,32Z)/30:4(15Z,18Z,21Z,24Z))","C76H136NO8P"
"PC(38:4(23Z,26Z,29Z,32Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C68H116NO8P"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C52H84NO8P"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:2(9Z,12Z))","C48H82NO8P"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(11Z,14Z,17Z))","C48H80NO8P"
"PC(20:4(5Z,8Z,11Z,14Z)/34:5(19Z,22Z,25Z,28Z,31Z))","C62H106NO8P"
"PC(20:4(5Z,8Z,11Z,14Z)/15:0)","C43H78NO8P"
"PC(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/30:5(12Z,15Z,18Z,21Z,24Z))","C62H102NO8P"
"PC(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/18:0)","C50H88NO8P"
"PC(24:5(6Z,9Z,12Z,15Z,18Z)/20:3(8Z,11Z,14Z))","C52H88NO8P"
"PC(24:5(6Z,9Z,12Z,15Z,18Z)/13:0)","C45H80NO8P"
"PC(18:4(6Z,9Z,12Z,15Z)/28:6(10Z,13Z,16Z,19Z,22Z,25Z))","C54H88NO8P"
"PC(18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","C46H78NO8P"
"PC(16:1(6Z)/32:5(17Z,20Z,23Z,26Z,29Z))","C56H100NO8P"
"PC(16:1(6Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C46H80NO8P"
"PC(18:1(6Z)/19:0)","C45H88NO8P"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(11Z,14Z,17Z))","C50H84NO8P"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/24:5(9Z,12Z,15Z,18Z,21Z))","C54H88NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/18:1(11E))","C52H90NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/26:4(11Z,14Z,17Z,20Z))","C60H100NO8P"
"PC(26:6(8Z,11Z,14Z,17Z,20Z,23Z)/16:1(6Z))","C50H86NO8P"
"PC(26:5(8Z,11Z,14Z,17Z,20Z)/18:1(11E))","C52H92NO8P"
"PC(20:3(8Z,11Z,14Z)/22:3(10Z,13Z,16Z))","C50H88NO8P"
"PC(20:3(8Z,11Z,14Z)/28:5(13Z,16Z,19Z,22Z,25Z))","C56H96NO8P"
"PC(18:2(9Z,11E)/18:4(6Z,9Z,12Z,15Z))","C44H76NO8P"
"PC(18:2(9Z,11E)/2:0)","C28H52NO8P"
"PC(18:2(9Z,11E)/3:0)","C29H54NO8P"
"PC(24:4(9Z,12Z,15Z,18Z)/28:0)","C60H112NO8P"
"PC(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C48H78NO8P"
"PC(16:2(9Z,12Z)/12:0)","C36H68NO8P"
"PC(18:2(9Z,12Z)/26:6(8Z,11Z,14Z,17Z,20Z,23Z))","C52H88NO8P"
"PC(18:2(9Z,12Z)/28:0)","C54H104NO8P"
"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C44H76NO8P"
"PC(18:1(9Z)/30:6(12Z,15Z,18Z,21Z,24Z,27Z))","C56H98NO8P"
"PC(18:1(9Z)/4:0)","C30H58NO8P"
"PC(18:1(9Z)/3:0)","C29H56NO8P"
"PC(14:1(9Z)/17:0)","C39H76NO8P"
"PC(28:4(13Z,16Z,19Z,22Z)/28:4(13Z,16Z,19Z,22Z))","C64H112NO8P"
"PC(2:0/38:4(23Z,26Z,29Z,32Z))","C48H88NO8P"
"PC(2:0/20:3(8Z,11Z,14Z))","C30H54NO8P"
"PC(4:0/36:4(21Z,24Z,27Z,30Z))","C48H88NO8P"
"PC(4:0/20:4(8Z,11Z,14Z,17Z))","C32H56NO8P"
"PC(4:0/26:0)","C38H76NO8P"
"PC(10:0/6:0)","C24H48NO8P"
"PC(12:0/20:1(11Z))","C40H78NO8P"
"PC(12:0/24:1(15Z))","C44H86NO8P"
"PC(12:0/34:5(19Z,22Z,25Z,28Z,31Z))","C54H98NO8P"
"PC(12:0/15:0)","C35H70NO8P"
