Molecule List Name,Precursor Name,Precursor Ion Formula,Precursor Adduct,Precursor m/z,Precursor Charge
PA,PA 16:0-18:1,C37H71O8P,[M-H]1-,673.4813805,-1
PA,PA 16:0-18:1,C37H71O8P,[M-H]1-,673.4813805,-1
PA,PA 16:0-18:1,C37H71O8P,[M-H]1-,673.4813805,-1
PA,PA 16:0-18:1,C37H71O8P,[M-H]1-,673.4813805,-1
PC,PC 21:0-22:6,C51H90NO8P,[M+CH3COO]1-,934.6542591,-1
PC,PC 21:0-22:6,C51H90NO8P,[M+HCOO]1-,920.6386091,-1
PC,PC 21:0-22:6,C51H90NO8P,[M+CH3COO]1-,934.6542591,-1
PC,PC 21:0-22:6,C51H90NO8P,[M+HCOO]1-,920.6386091,-1
PC,PC 21:0-22:6,C51H90NO8P,[M+H]1+,876.6476822,1
PE,PE 17:0-17:0,C39H78NO8P,[M+H]1+,720.5537818,1
PE,PE 17:0-17:0,C39H78NO8P,[M-H]1-,718.5392298,-1
PG,PG 17:0-20:4,C43H77O10P,[M-H]1-,783.51816,-1
PG,PG 17:0-20:4,C43H77O10P,[M-H]1-,783.51816,-1
PG,PG 17:0-20:4,C43H77O10P,[M+H]1+,785.532712,1
PI,PI 21:0-22:6,C52H89O13P,[M-H]1-,951.5968043,-1
PI,PI 21:0-22:6,C52H89O13P,[M-H]1-,951.5968043,-1
PI,PI 21:0-22:6,C52H89O13P,[M+H]1+,953.6113563,1
PS,PS 12:0-13:0,C31H60NO10P,[M-H]1-,636.3882084,-1
PS,PS 12:0-13:0,C31H60NO10P,[M-H]1-,636.3882084,-1
PS,PS 12:0-13:0,C31H60NO10P,[M+H]1+,638.4027604,1
PIP,PIP 17:0-20:4,C46H82O16P2,[M-H]1-,951.500535,-1
PIP,PIP 17:0-20:4,C46H82O16P2,[M-H]1-,951.500535,-1
PIP,PIP 17:0-20:4,C46H82O16P2,[M-H]1-,951.500535,-1
PIP,PIP 17:0-20:4,C46H82O16P2,[M-H]1-,951.500535,-1
PIP,PIP 17:0-20:4,C46H82O16P2,[M-H]1-,951.500535,-1
PIP2,PIP2 17:0-20:4,C46H83O19P3,[M-H]1-,1031.466866,-1
PIP2,PIP2 17:0-20:4,C46H83O19P3,[M-H]1-,1031.466866,-1
PIP2,PIP2 17:0-20:4,C46H83O19P3,[M-H]1-,1031.466866,-1
PIP2,PIP2 17:0-20:4,C46H83O19P3,[M-H]1-,1031.466866,-1
PIP3,PIP3 17:0-20:4,C46H84O22P4,[M-H]1-,1111.433197,-1
PIP3,PIP3 17:0-20:4,C46H84O22P4,[M-H]1-,1111.433197,-1
PIP3,PIP3 17:0-20:4,C46H84O22P4,[M-H]1-,1111.433197,-1
PIP3,PIP3 17:0-20:4,C46H84O22P4,[M-H]1-,1111.433197,-1
MG,MAG 16:0,C19H38O4,[M+NH4]1+,348.3108354,1
