10-HDoHE	4Z,7Z,11E,13Z,16Z,19Z
10-HOME	11E
10-HpOME	8E
10,17-DiHDoHE	4Z,7Z,11E,13Z,15E,19Z
10(11)-EpDPE	4Z,7Z,13Z,16Z,19Z
10R-HOME	11Z
10R-HpOME	11Z
10S-HOME	11Z
10S,17S-DiHDoHE	4Z,7Z,11E,13Z,15E,19Z
11-HDoHE	4Z,7Z,9E,13Z,16Z,19Z
11-HEPE	5Z,8Z,12E,14Z,17Z
11-HETE	5Z,8Z,12E,14Z
11-HOME	12
11-HpODE	9Z,12Z
11-HpOME	9Z
11,12-EET	5Z,8Z,14Z
11R-HETE	5Z,8Z,12E,14Z
11R-HOME	12Z
11R,12S-EpETrE	5Z,8Z,14Z
11S-HETE	5Z,8Z,12E,14Z
11S-HOME	12Z
11S-HpODE	9Z,12Z
11S,12R-EpETrE	5Z,8Z,14Z
12-HEPE	5Z,8Z,10E,14Z,17Z
12-HETE	5Z,8Z,10E,14Z
12-HHTrE	5Z,8E,10E
12-HOME	13
12-HpOME	13
12-oxoHT	5Z,8E,10E
12,13-DiHOME	9Z
12,13-EpODE	9,11
12,13-EpOME	9
12,13S-EOT	9Z,11,15Z
12,13S-EpODE	9Z,11
12(13)-EpOME	9Z
12(S)-HETE	5E,8Z,10Z,14Z
12R-HETE	5Z,8Z,10E,14Z
12R-HHTrE	5,8,10
12R-HODE	9Z,15Z
12R-HOME	13Z
12R-HpOME	13
12S-HETE	5Z,8Z,10E,14Z
12S-HHTrE	5Z,8E,10E
12S-HOME	13Z
12S-HpOME	13
12S,13R-EpOME	9Z
13-HDoHE	4Z,7Z,10Z,14E,16Z,19Z
13-HETE	5Z,8Z,11Z,17Z
13-HODE	9Z,11E
13-HOME	11
13-HOTrE	9,11,15
13-HpOME	14E
13-HpOTrE	9,11E,15Z
13-Oxo-ODE	9Z,11E
13(14)-EpDPE	4Z,7Z,10Z,16Z,19Z
13R-HETE	5Z,8Z,11Z,14Z
13R-HODE	9,11
13R-HOME	11E
13R-HpOME	11E
13S-HODE	9Z,11E
13S-HOME	11E
13S-HOTrE	9Z,11E,15Z
13S-HpODE	9Z,11E
13S-HpOME	11E
13S-HpOTrE	9Z,11E,15Z
14-HDoHE	4Z,7Z,10Z,12E,16Z,19Z
14-HpOME	12
14,15-DiHETrE	5Z,8Z,11Z
14,15-EET	5Z,8Z,11Z
14,15-EpETrE	5Z,8Z,11Z
14R-HpOME	12E
14R,15S-EpETrE	5Z,8Z,11Z
14S-HpOME	12E
14S,15R-EpETrE	5Z,8Z,11Z
15-HETE	5Z,8Z,11Z,13Z
15-HETrE	8Z,11Z,13E
15-HpETE	5Z,8Z,11Z,13E
15-HPETE	5Z,8Z,11Z,13E
15-oxoETE	5,8,11,13
15,16-DiHODE	9Z,12Z
15(R)-HETE	5E,8Z,11Z,13Z
15R-HETE	5Z,8Z,11E,13Z
15R-HpETE	5,8,11,13
15S-HETE	5Z,8Z,11Z,13E
15S-HpETE	5Z,8Z,11Z,13E
16-HDoHE	4Z,7Z,10Z,13Z,17E,19Z
16-HETE	5Z,8Z,11Z,14Z
16(17)-EpDPE	4Z,7Z,10Z,13Z,19Z
17-HDoHE	4Z,7Z,10Z,13Z,15E,19Z
17,18-diHEPE	5Z,8Z,11Z,13E,15E
17,18-EpETE	5,8,11,14
17R,18R-diHEPE	5Z,8Z,11Z,13E,15E
17R,18S-diHEPE	5Z,8Z,11Z,13E,15E
17R,18S-EpETE	5Z,8Z,11Z,14Z
19-HETE	5Z,8Z,11Z,14Z
19(20)-EpDPE	4Z,7Z,10Z,13Z,16Z
20-HDoHE	4Z,7Z,10Z,13Z,16Z,18E
20-HETE	5Z,8Z,11Z,14Z
4-HDoHE	5E,7Z,10Z,13Z,16Z,19Z
5-HETrE	6E,8Z,11Z
5-HpETE	6E,8Z,11Z,14Z
5-HPETE	6E,8Z,11Z,14Z
5,11-DiHETE	6,8,12,14
5,12-diHETE	6,8,10,14
5,12-DiHETE	6,8,10,14
5,15-DiHETE	6,8,11,13
5,6-EET	8Z,11Z,14Z
5,6-EpETrE	8Z,11Z,14Z
5R-HpETE	6,8,11,14
5R,6S-EpETrE	8Z,11Z,14Z
5S-HpETE	6E,8Z,11Z,14Z
5S,11R-DiHETE	6E,8Z,12E,14Z
5S,12R-diHETE	6Z,8E,10E,14Z
5S,6R-EpETrE	8Z,11Z,14Z
6-HpOME	7E
7-HDoHE	4Z,7Z,10Z,13Z,15E,19Z
7-HpOME	5E
7,8-DiHODE	9Z,12Z
7,8-DiHOME	9
7,8-DiHOTrE	9,12,15
7(8)-EpDPE	4Z,10Z,13Z,16Z,19Z
7S,8S-DiHODE	9Z,12Z
7S,8S-DiHOME	9Z
7S,8S-DiHOTrE	9Z,12Z,15Z
8-HDoHE	4Z,6E,10Z,13Z,16Z,19Z
8-HETE	5E,9Z,11Z,14Z
8-HETrE	9E,11Z,14Z
8-HODE	9,12
8-HOME	9
8-HpETE	5Z,9E,11Z,14Z
8-HpODE	9,12
8-HpOME	9
8,9-EET	5Z,11Z,14Z
8,9-EpETrE	5Z,11Z,14Z
8R-HODE	9Z,12Z
8R-HOME	9Z
8R-HpETE	5Z,9E,11Z,14Z
8R-HpODE	9Z,12Z
8R-HpOME	9Z
8R,9S-EpETrE	5Z,11Z,14Z
8S-HODE	9Z,12Z
8S-HpETE	5Z,9E,11Z,14Z
8S,9R-EpETrE	5Z,11Z,14Z
9-HETE	5E,7Z,11Z,14Z
9-HODE	10E,12Z
9-HOTrE	10E,12Z,15Z
9-HpODE	10E,12Z
9-HpOME	7E
9-OxoODE	10E,12Z
9,10-DiHOME	12Z
9,10-EpOME	12Z
9(10)-EpOME	12Z
9R,10S-EpOME	12Z
9S-HODE	10E,12Z
9S-HOTrE	10E,12Z,15Z
9S-HpODE	10E,12Z
